source_index,true,predicted,text
313,talk.politics.guns,talk.politics.misc,"Oh Christ, here we go again. I'm actually going to assume that
this was a serious posting, fool that I am.

 
And I suppose I should just take your word for it. Did you ever
think that many people who use firearms to protect themselves
might not admit to it because of the ridiculous laws which exist
forbidding concealed carry?

 
I already own a cool jacket. I ride a bicycle to work and park
it behind my desk. And if my woman decides to go with someone
else, I'd be disappointed but killing her new suitor will probably
not endear her to me any more than before. Frankly, I've never
met a woman worth killing for anyway. (Now, an AR-15 with a chrome
barrel, THAT's worth killing for ...!-))

 
Does this pinhead know something the rest of us don't?
I'm not too worried about federal martials coming to get my guns.
The government can't seem to keep violent criminals in jail since
they don't have enough prison space, and the legal system is over-
burdened anyway. Where are they going to put all the millions of
gun-owners who won't fork over their weapons? Maybe you'd like to
volunteer the services of your humble abode, since you obviously
feel sooooo strongly about this.

 
Your argument has been rendered useless. Accept this. Find another
newsgroup.

------------------------------------------------------------
Lee Gaucher   NRA                |  My opinions.
gaucher@sam.cchem.berkeley.edu   |  No one else's."
1069,talk.politics.mideast,talk.politics.misc,"Mr. Freeman:

Please find something more constructive to do with your time rather
than engaging in fantasy..... Not that I have a particular affinty
to Arafat or anything.

John

"
599,talk.politics.guns,talk.politics.misc,"If one reasons that the United States of America at one time represented 
and protected freedom << individual liberty and personal responsibility >> 
(and I do, in fact, think that this is true) and that totalitarianism << 
absolute government control and tyranny >> represents freedom's opposite 
(which it does), did the USA really win the cold war?

Standard disclaimers ALWAYS apply!

----------------
Graham K. Glover
----------------"
1463,talk.politics.guns,talk.politics.misc,"
Do you have any statistical evidence to back you claim that requires another
limitation of the citizenry freedom?
-- 

-----------------------------------------------------------------------------
Steve Podleski			|     phone: 216-433-4000
NASA Lewis Research Center     	|    
Cleveland, Ohio  44135         	|     email: pspod@hooch.lerc.nasa.gov "
72,talk.politics.mideast,talk.politics.misc,"
[JLE] Q: How many occupying israeli soldiers (terrorists) does it
[JLE] take to kill a 5 year old native child?
[JLE] A: Four
[JLE] Two fasten his arms, one shoots in the face,
[JLE] and one writes up a false report.

A couple of months ago JLE wrote a terrible C program (it would never have 
passed compilation). This is one describes JLE the Great.

---- 8< Cut Here and save to jle.c ----------- >8 ----------

#include <stdio.h>
#include <signal.h>

#define	LOSER		0x01
#define	CHILDISH	0x01
#define	UNHUMORISTIC	0x01
#define VULGAR		0x01
#define MOSSAD_AGENT	0x01

#define J_L_E		LOSER | CHILDISH | UNHUMORISTIC | VULGAR | MOSSAD_AGENT

static void
abort()
{
	printf(""Even if she wanted, JLE's mother couldn't abort this program"");
	printf(""\n\n\n\n"");
}

void
main()
{
	signal(SIGINT,abort);
	printf(""This program does not help Jewish-Arab relations  :-( \n"");

	printf(""Hit ^C to abort \n"");

/* Infinite loop, JLE never comes out of his world 	*/

	while(J_L_E);
}

---- 8< Cut Here ----------- >8 ----------


To compile this ""wonderfool"" program on a unix machine try.
cc -o jle jle.c
or 
make jle

then type jle at your prompt.

I tried it, it works great ...


Tsiel"
894,talk.politics.misc,talk.politics.guns,"
The tax protesters are legally correct, but they are put in jail anyway.

The weakness of the governments legal position is shown by the fact that when
someone protesting tax or gun laws on legal grounds gets a federal jury trial
(very rare) the feds blatantly stack the jury, with the same old faces turning
up time after time.

However Teel should have mentioned that though his advice is legally sound, if
you follow it you will probably wind up in jail.
"
1403,talk.politics.guns,talk.politics.misc,"
Proper counter to this claim:  ""Forensic analysis of the WTC bomb by
means of taggants would have been as impossible as semantic analysis
of NYT editorials by means of taggants -- the difficulty in both cases
being to have persuaded the bull to consume the taggants before 
production of either item.""
-- "
1503,talk.politics.misc,talk.politics.guns,"
Do they have a history of working in massage parlors, and telling
co-workers there that they are prostitutes?  Do they frequent truck
stop parking lots at 4:00 AM, without ID on any sort?
"
475,talk.politics.misc,talk.politics.guns,"William December Starr writes...

in a typical lawyer baiting fashion, as usual. 

(All the while ignoring every principle of the ACLU.)

Good to see your still out there WDS. Surely we've
been around the ring enough by now, that you know 
you can't spin me up with expletives. 

Let's see if there's anything left worth responding to...


E for effort. Heard about the folks who live around foghorns and 
airports?


Seems right in character to me -- creature of the state. 
Btw, are you still happy with your presidents?


See the part about the children following the ""and"" in the first line
above. 

As to a connection, your ""cult"" is ""faith in rules"". 


Sure. My concern is the well being of the children.  


{Interesting that you would respond ""emotionally"" in defense of the 
government. Maybe there is a beating heart there.}

For the record though, the biggest-baddest goverment on earth claims 
the most sovereignty over man. Best I can tell God allows anyone to
go to hell who wants to. Omnipotency logically determines that ""allowing""
and ""sending"" mean the same thing.  (Mere human concepts of course.)

So come on WDS. Why bother to try some flimsy facade of logic. Waco
proves it's not needed -- the demonstration that government can walk
over it's own rules in the name of justice has been made. No problem 
by me. Noted and announced -- for the record. Just giving the govern-
ment it's due, and getting back to more worthwhile non-government 
concerns. "
915,talk.politics.guns,talk.politics.misc,"
They'd probably quote Montesque (sp?) who was once asked if Russia
was likely to become a democracy any time soon: ""No, because
Russia is a nation of slaves and the people get what they deserve.""
Since he said that, Russia has changed a great deal. But so, 
unfortunately have other nations."
1182,talk.politics.mideast,talk.politics.guns,"

I'm sure the Federal Bureau of Investigation (fbi.gov on the Internet) is going
to *love* reading your incitement to murder.
"
657,talk.politics.mideast,talk.politics.misc,"
Gannon, why don't you tell the readers of these newsgroups
how you hail Nazism on your BBS, and post long articles
claiming non-Whites are inferior?

# THE U.S. HOLOCAUST MEMORIAL MUSEUM: A COSTLY AND DANGEROUS MISTAKE

The Museum is entirely funded by private donations, but don't
expect this fact to deter ""Maynard"".

BTW, Gannon's ideological fathers also had a passion for constructing
museums and collections, some of which served to educate the
public about the racial supremacy of the Aryans. One such
collection was that of skeletons, and there was no lack of these
around:

Letter from SS-Standartenfuehrer Sievers to SS-Obersturmbannfuehrer
Dr. Brandt, November 2 1942
[""Trial of the Major War Criminals"", p. 520]
-------------------------------------------------------------------
Dear Comarade Brandt,

As you know, the Reichsfuehrer-SS has directed that
SS-Hauptsturmfuehrer Prof. Dr. Hirt be supplied with everything
needed for his research work. For certain anthropological
researches - I already reported to the Reichsfuehrer-SS on
them - 150 skeletons of prisoners, or rather Jews, are
required, which are to be supplied by the KL Auschwitz.


However, the good Doctor needed some more items to complete his
research:

Testimony of Magnus Wochner, SS guard at the Natzweiler Concentration
Camp
[""The Natzweiler Trial"", Edited by Anthony M. Webb, p. 89]
--------------------------------------------------------------------
... I recall particularly one mass execution when about 90 prisoners
(60 men and 30 women), all Jews, were killed by gassing. This took
place, as far as I can remember, in spring 1944. In this case the
corpses were sent to Professor Hirt of the department of Anatomy in
Strasbourg.
"
