source_index,true,predicted,text
130,talk.politics.misc,talk.politics.mideast,"




                          etc. etc.....


     ^^^^^^

***Sure!!! And what's .3 of a woman??? Any hypothesis??

   How can you trust a report from people that have *no idea*
   of what a MEDIAN is?

   The same bullshit article reported that 22,5% of all the men have
   sex 10 times or more a week (Elf, how many times did you fill
   one of those questionnaires?) and had other statistics that took
   in no consideration different class backgrounds, marital status
   etc.  No information on sampling were given.


Do you think you can compare so lightly secondary data from 2 very
different (and discutible) surveys???


It just shows how dramatically ignorant are press release writers and
most pople that read them.....
"
981,talk.politics.misc,talk.politics.guns,"tes:
.
s.

Or mug me.

Why must you pursue this fantasy that all crime is derived from ""underground 
economies"".

 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Haaahaaaahaaaa


Yeah buddy, this happens all the time.  Tell me, HAS IT EVERY REALLY HAPPENED 
TO YOU?   That's what I thought.


Your foolish.

          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
Must I ask again, what part?


All I ask is that drugs stay illegal.  I don't think it's too much to ask.
"
485,talk.politics.misc,talk.politics.guns,"In <1993Apr15.143320.8618@desire.wright.edu>, demon@desire.wright.edu sez:

There's this minor thing called ""interest of finality/repose"".  What
it means is that parties aren't dragged into court over and over again
because the losing side ""discovers"" some ""new"" evidence.  I don't know
about you, Brett, but I suspect GM had the resources to find just
about as many expert and fact witnesses as it wanted before the trial
started.  Letting them re-open the case now is practically an
invitation to every civil litigant on earth to keep an ace in the hole
in case the verdict goes against him.

BTW, in federal criminal cases, Rule 33 does permit a motion for a new
trial ""based on . . . *newly discovered* evidence"" if made within 2
years of the verdict.  (Emphasis mine.)  If you're trying to make a
backhanded point about criminal justice in a discussion that has
little to do with criminal trials -- as the estimable David Brock did
in his amusing WSJ piece last week -- save your breath.




Yup.  Which is why they shoulda been brought around the first time
through. 



Unless there's some reason to believe that this supposed bias predated
the trial (as opposed to being a product of it), and that GM was
unfairly prevented from discovering it (by venireman concealment or
otherwise), why should GM be allowed to complain?
"
507,talk.politics.misc,talk.politics.mideast,"

Well yes and no. The Federalist papers are propaganda and it is therefore
difficult to determine precisely what Maddison etc were up to from them. They
certainly emphasised a limited role for the federal government but this
was not necessarily their true position.


The Senate was less powerful than the House of Lords in the period in question.
The stripping of the powers of the House of Lords did not occur until 1914
and David Llloyd George's budget. Even despite this the House of Lords has
considerable power even today and is far from a rubber stamping body. 



The system is meant to be slow to react, the problem is that it ended up
a bit too slow.



The Presiden't veto was meant to be entirely separate. Until Bush abused it
in a quite extraordinary manner it was used more in accord with the intent
of being a check on unreasonable legislation. The veto was clearly regarded 
as a completely last gasp measure its use was meant to be restricted to
preventing the legislature interfering with the actions of the executive."
381,talk.politics.mideast,talk.politics.guns,"

I know nothing about statistics, but what significance does the
relatively small population growth rate have where the sampling period
is so small (at the end of 1371)? Is it adequete to suggest a trend or
is it just noise?
"
0,talk.politics.misc,talk.politics.guns,"
It is a bit unfair to call blame the Clinton Administration alone...this
initiative was underway under the Bush Administration...it is basically
a bipartisan effort of the establishment Demopublicans and
Republicrats...the same bipartisan effort that brought the S&L scandal,
and BCCI, etc."
1524,talk.politics.misc,talk.politics.guns,"
Again, Mr. Frank has come to the rescue with his cool headed reason.  How
about, ""One charge per victim?""  Of course I'll think about it in a few days
and find a case where this doesn't apply either.  

What the heck, I don't study law, I just hate lawyers. :)
"
1036,talk.politics.misc,talk.politics.guns,"
Which, considering the amount Bush&congress added to it, would be a
not-inconsiderable achievement.

While we're on the subject, I also believe that the supply-side claim that
reducing taxes raised revenue is also false, because they typically factor in
SocSec taxes, which were *raised* a considerable amount, at the same time that
income taxes were cut.  If you look at income tax revenue alone, it fell after
after the cuts began, and didn't recover for several years. By then, record
deficits were well entrenched.

*crunch, crunch*"
1378,talk.politics.misc,talk.politics.guns,"
Last I checked I was one person, I haven't even been elected
as a representative for ""gaydom"". Should I ascribe every thing
you say as representing every member of the straight community?


Thats the point. If there are several million queers in DC you had better
start wondering about the validity of the study.
"
1228,talk.politics.mideast,talk.politics.guns,"From article <1993Apr15.031349.21824@src.honeywell.com>, by amehdi@src.honeywell.com (Hossien Amehdi):

Tell me then, would you also fight the Syrians in Lebanon?

Oh, no of course not. They would be your brothers and you would
tell that you invited them. "
798,talk.politics.misc,talk.politics.guns,"Rich Thompson posts some blather about the Libertarian Party:



What pray tell do the Libertarians know about winning elections?

Bob


--"
1012,talk.politics.misc,talk.politics.mideast,"
It is obvious that Mr. Cramer has the 'ability' to take the 'leap of faith'.
I have listened to several of the men involved in this study, and even they
claim that the men involved will not 'tell the whole truth'.

I put little value in extrapolating from these types of 'studies' or 'surveys',
they have limited subsets of individuals, and there is alot of skewing due
to improper selection methods, and the bias of the people involved in the
studies on both sides- subject and researcher.

Would you admit to be part of a group that was not very well liked?  Would 
you admit to having had sex with other people at some considered abnormal
rate (this applies to heterosexual men).  In fact, as one gay man and one
straight man put it, ""men lie about the number of partners, because that's
the thing to do""- our culture for the male almost requires this type of
response.  It may seem harmless and silly, but carries a large emotional
and mental price tag."
367,talk.politics.misc,talk.politics.mideast,"
When you force people to associate with others against their will,
yes.

"
414,talk.politics.misc,talk.politics.mideast,"Reasonable doubt dates back to Human Rights. We are now in the time of
Civil Rights. Civil Rights are issued by the State with whatever strings
attached they choose as the Grantor of said rights. And if that means that 
verdicts are determined by the needs of the state rather than by guilt or 
innocence in a traditional sense, so be it. Being subjective rather than 
objective may make it harder to anticipate what is right, and you may be 
sacrificed for being wrong inadvertantly once in a while, but that really is a 
small price to pay for the common good don't you think?

"
754,talk.politics.misc,talk.politics.mideast,"In the hopes of adding a little life to, what seems to be, the
same old debates, I would like to add a few bits of info and ask for
comments.

1) A couple days ago the headlines were splashed with stories of proof
   that the North Vietnamese had held U.S. hostages after the war ended.
	Way back in today's newspaper (Page A7 of San Francisco Chronicle)
   there is an article about the document that held the proof.
	[used without permission]

	""The document, which was discovered in the archives of the Soviet
    Communist Party in Moscow, is a Russian translation of what is described
    as a September 1972 report prepared for the Vietnam Politburo by General
    Tran Van Quang, who is identified as the deputy chief of staff of the
    North Vietnamese army.""
         [later on in the article after it talks about the claim of 1,205
           Americans in North Vietnamese prisons]
	""Phong said the easiest way to prove that the document is a 
    fabrication is to review Quang's career. In 1972, he said, Quang was 
    not deputy chief of staff; he was the army commander in Military Region 4
    in central Vietnam.""

2) I heard on the radio that the Church of Scientology has filed for 
   bankrupcy becuase the employees of Cocolat , owned by CoS, filed a 
   class action suit against them for requiring the employees to pay dues
   to become members of the Church. Anyone heard more about this?

3) Micheal Jackson went into business with Micheal Milken. No lie.

------------------------------------------------------------------------------
""Who said anything about panicking?"" snapped Authur.           Garrett Johnson
""This is still just culture shock. You wait till I've       Garrett@Ingres.com
settled into the situation and found my bearings.
THEN I'll start panicking!"" - Douglas Adams  "
112,talk.politics.misc,talk.politics.guns," 
You think that you all have it bad....here at good ol' Southwest Missouri
State U., we have 2 parties running for student body president.  There's the
token sorority/fraternity faces, and then there's the president and vice
president of NORML.  They campaigned by handing out condoms and listing
their qualifications as,""I listen really well.""  It makes me sick to have
a party established on many of the things that are ruining this country like
they are.  I think I'll run next year.:("
360,talk.politics.mideast,talk.politics.guns,"

And anyone who doesn't agree with you is, by your own definitions, a
""useless fart"".  Just like any text that disputes your own ""findings""
is always described as ""flawed"" or ""biased"".  In other words, you
trumpet the things you like and dismiss those that might embarass you.
We've seen you play these games here for a long time.

One thing is for sure: When it comes to ""useless farts"", you sure know 
what you're talking about.
"
336,talk.politics.misc,talk.politics.mideast,"# #The argument that ""slavery was a dying institution"" was often made by
# 						     ^^^
# 						     (IS)
# 
# #historians, mainly Southerners, who sought to divert attention from the 
# #institution as the central issue of the Civil War.  In fact, however,
# #the argument is specious, at best.  More recent scholarship from the 
# #last 20-30 years demonstrates rather conclusively that the cotton/sugar/
# #tobacco economy and its reliance on slavery was increasingly dominant in 
# #the South prior to the Civil War.
# 
# This is because the South did not receive the massive momentum of capital
#  intensive growth that the Northern states did. Compare the Northern
#  agricultural system with the Southern and you will see a major difference 
#  in the capital to labor intensity.

Capital and labor are one and the same in a slave economy.  Except that
capital doesn't reproduce quite as readily as slaves did.

Slavery was a dying institution before the cotton gin, yes, but not
in 1850.

# #It is true that cotton suffered from price depression in the 1840's -
# #the period used to claim that slavery would not have lasted in the 
# #South.  
# 
# That is not the argument that I have heard. It would not have lasted because
#  the growth in the North would not have been sustained for much longer without
#  spilling over to the Southern states, i.e. Northern industry would have 
#  migrated capital to the Southern states, and with that would have come 
#  immigrant labor to the ports of the South, e.g. Charleston, Savannah, Mobile,
#  New Orleans, etc. This would have put the breaks on the slave market and
#  slavery would have been out-moded by the capital intensity of competing 
#  agriculturalists. Those that insisted on keeping slaves because of their
#  ""Cruel Hearts and Hatred for Black People"" would have been driven out of
#  business. Simple capital to labor ratio...read Michael Parkin _Microeconomics_
#  2nd edition, and any other basic economics book.

This assumes that the slave holder dominance over state governments
would not have caused the passage of laws to keep out capital from the
North.  Since slave holders were prepared to do almost anything else
to destroy free markets in order to maintain slavery, I do not doubt
that they would have passed laws to cripple any serious competitive
threat.  Thomas Sowell's _Market and Minorities_ argues that the
maintenance of slavery, and the costs it imposed on state and local
governments, discouraged not only capital formation, but also outside
capital investment in the Southern states.

# 	Craig A. Depken, II"
701,talk.politics.misc,talk.politics.guns,"
This is a very good point.  One that I have held for sometime.  We do not
allow people to develop on the paths that they choose or desire.  Even with
heterosexuals we tend to leave some hanging in the sense of knowledge and
information about sexuality and relationships.

It is very difficult for a young person to develop and build a positive
view of themself when they are constantly being told implicitly and explicitly
that they are wrong and immoral. "
1016,talk.politics.misc,talk.politics.guns,"
actually,  teh D means the registered driver has diplomatic immunity.
That means they can do as they damn well please on the roads, and you
have only God as your protection.   

The state Department Issues Saa-XXX  plates for personnel  who work
at the embassies but haven't been granted  immunity.  Most embassies
have restricted parking for embassy personell  street side.  

The S plates allow them to use  those parking areas as well as the
restricted lots at National and State dept,  without a lot of crap."
1054,talk.politics.misc,talk.politics.mideast,"






Carlos,

   Why not check out some of the scientific research that has been
done in this area and convince yourself.

   Research around the world indicates that the issue of coercion is
the critical factor. 

For those interested in research on the topic I can suggest, Li et al
(England), Constantine (United States), and Sandfort (The Netherlands).
I especially like Sandfort's research for he actually quotes what the
boys who are involved in the relationships have to say.



Children and Sex: New Findings, New Perspectives by Larry Constantine
  & Floyd M. Martinson (eds.). Little Brown & Co., Boston, 1980.
Boys On Their Contacts With Men by Theo Sandfort, Global Academic
  Publishers, Elmhurst, New York, 1987.
Perspectives on Paedophilia by Brian Taylor (ed.). Batsford Academic &
  Educational Ltd., London, 1981.
Paedophilia: A Factual Report by Frits Bernard. Enclave, Rotterdam,
  The Netherlands, 1985.
Sexual Experience Between Men and Boys by Parker Rossman. Maurice
  Temple Smith Ltd., Middlesex, Great Britain, 1985.
Children's Sexual Encounters With Adults by C.K. Li, D.J. West & T.P.
  Woodhouse. Gerald Duckworth & Co., London, 1990.


Yours in Liberation,

Roy

"
995,talk.politics.misc,talk.politics.guns,"
Who compared Quayle to Gore?  Mark said he had never heard of any incident
in which the thrower of the ceremonial ball had been booed before.  I mentioned
another incident.  (And if the media had a liberal bias, I'm sure he would
have heard of the Quayle incident.)

If I was to compare Quayle to anyone, it most likely would be Elmer Fudd.

"
1053,talk.politics.misc,talk.politics.mideast,"
: First off they could recognise Iraqu's responsibility in initiating the
: Iran/Iraq war. Providing technical assistance to Iran to get it's oil
: production back up to capacity would also be a smart move, at the moment 
: Iran is above it's OPEC ceiling. If they had extra capacity they would
: use it and bring down the oild price further which is in our interests.

I agree with most of what Phill says, except the point about it being in
our interests to bring down the oil price.  Consider that both the U.S.
and Great Britain have domestic sources to partly satisfy 
their energy needs.    Pricy OPEC oil impacts both Germany,
Japan and many other ""industrial rivals"" more than these two.  
In addition, the proceeds from the sale (especially by Saudi Arabia, Kuwait
U.A.E. etc) are disproportionately reinvested in the U.S. and G.B., 
propping up these economies and further providing an incentive 
to keep prices from falling too low."
1260,talk.politics.misc,talk.politics.guns,"




OK, I admit I have no hard data on this. Why don't you help me with this?
If you would compile a commented list of all grants, un-repaid loans (if any),
and direct aid, I'd be very interested to see it. If you could give me
references from, for example, Congressional Budget Authorization Hearings,
I could look them up here and I'd be happy to post a verification of your
data.

Otherwise, I'll try my hand at this, but unfortunately I won't have sufficient
time available until the end of this month, so the results would be delayed.

Let me know if you're interested in doing this.

___Samuel___
Mossad Special Agent ID314159
Media Spiking and Mind Control Division
Los Angeles Offices"
1069,talk.politics.mideast,talk.politics.guns,"Mr. Freeman:

Please find something more constructive to do with your time rather
than engaging in fantasy..... Not that I have a particular affinty
to Arafat or anything.

John

"
1081,talk.politics.mideast,talk.politics.guns,"


[ ... questions omitted ... ]


Funny you should mention it, but I've heard these questions time
and again, also.  Why just the other day, a couple neo-Nazis by
UCLA were passing out literature like this.
Cheers,
Steve"
599,talk.politics.guns,talk.politics.mideast,"If one reasons that the United States of America at one time represented 
and protected freedom << individual liberty and personal responsibility >> 
(and I do, in fact, think that this is true) and that totalitarianism << 
absolute government control and tyranny >> represents freedom's opposite 
(which it does), did the USA really win the cold war?

Standard disclaimers ALWAYS apply!

----------------
Graham K. Glover
----------------"
1223,talk.politics.misc,talk.politics.guns,"Now, that Clinton can get e-mail, i'm wondering if Congress is also
going on line.. If so, does anyone have the address to reach them??
I'm also looking for Bill's e-mail address.
please e-mail me, i am not a regualar reader of this newsgrouop.
"
487,talk.politics.mideast,talk.politics.guns,"

The problem if  transffering US government files about Yigal Arens
and some other similar persons does or does not violate a federal
or a local American law seemed to belong to some local american law
forum  not to this forum.
The readers of this forum seemed to be more interested in the contents
of those files.
So It will be nice if Yigal will tell us:
1. Why do American authorities consider Yigal Arens to be dangerous?
2. Why does the ADL have an interest in that person ?
3. If one does trust either the US government or the ADL what an
   additional information should he send them ?
"
429,talk.politics.misc,talk.politics.guns,"


Pity you didn't say something about the use of statistics to justify
targeting and persecuting a minority, then.



What in the Tree makes you think we queers CAN'T experience that commitment? 
What's stopping us from committing to one partner for the rest of our lives? 
I have every intention of doing so, once I find the right person...and
whether that person is male or female, I seriously doubt that a church
ceremony/public vow/licence will make any difference whatsoever in the sort
of commitment I experience with that person.  You have no conception of the
difference marriage makes since you have never known any other way.




You're getting to the right idea here...just be careful of making statements
like the above, and you'll be part of the solution and not the problem.


No flames necessary. :)

Drywid"
894,talk.politics.misc,talk.politics.guns,"
The tax protesters are legally correct, but they are put in jail anyway.

The weakness of the governments legal position is shown by the fact that when
someone protesting tax or gun laws on legal grounds gets a federal jury trial
(very rare) the feds blatantly stack the jury, with the same old faces turning
up time after time.

However Teel should have mentioned that though his advice is legally sound, if
you follow it you will probably wind up in jail.
"
1403,talk.politics.guns,talk.politics.mideast,"
Proper counter to this claim:  ""Forensic analysis of the WTC bomb by
means of taggants would have been as impossible as semantic analysis
of NYT editorials by means of taggants -- the difficulty in both cases
being to have persuaded the bull to consume the taggants before 
production of either item.""
-- "
1503,talk.politics.misc,talk.politics.guns,"
Do they have a history of working in massage parlors, and telling
co-workers there that they are prostitutes?  Do they frequent truck
stop parking lots at 4:00 AM, without ID on any sort?
"
475,talk.politics.misc,talk.politics.mideast,"William December Starr writes...

in a typical lawyer baiting fashion, as usual. 

(All the while ignoring every principle of the ACLU.)

Good to see your still out there WDS. Surely we've
been around the ring enough by now, that you know 
you can't spin me up with expletives. 

Let's see if there's anything left worth responding to...


E for effort. Heard about the folks who live around foghorns and 
airports?


Seems right in character to me -- creature of the state. 
Btw, are you still happy with your presidents?


See the part about the children following the ""and"" in the first line
above. 

As to a connection, your ""cult"" is ""faith in rules"". 


Sure. My concern is the well being of the children.  


{Interesting that you would respond ""emotionally"" in defense of the 
government. Maybe there is a beating heart there.}

For the record though, the biggest-baddest goverment on earth claims 
the most sovereignty over man. Best I can tell God allows anyone to
go to hell who wants to. Omnipotency logically determines that ""allowing""
and ""sending"" mean the same thing.  (Mere human concepts of course.)

So come on WDS. Why bother to try some flimsy facade of logic. Waco
proves it's not needed -- the demonstration that government can walk
over it's own rules in the name of justice has been made. No problem 
by me. Noted and announced -- for the record. Just giving the govern-
ment it's due, and getting back to more worthwhile non-government 
concerns. "
779,talk.politics.guns,talk.politics.mideast,"Today's atrocity in Waco has finally impelled me to start working on
something I've been thinking about for some time.  Over the last few
years I have heard of one case after another of government running
completely amok.  Unfortunately, most people are oblivious of the
government's crimes and still think of it as their protector.  So I
intend to put together what I call the ""American Horror File"": a
compilation of cases where the American government has run roughshod
over the rights of its citizens over the last few years, focusing
especially on deaths and injuries resulting from no-knock warrants,
and financial ruin to innocents resulting from civil forfeiture laws,
but including any other cases for which I can find decent
documentation.  I hope to make people blood-boiling, artery-bursting,
red-hot enraged at their government.

The end result will probably be a book in electronic form (ASCII text
and postscript files) detailing the government's crimes of recent
years.  This book will be distributed at cost, and I will encourage
people to post copies to BBS's, send copies on disk to friends, and
print out copies and give them to neighbors.

This is a call for your help.  Any information that you can send me on
how government is running amok will be greatly appreciated.  I would prefer
information that is well-documented, with sources given, about specific
instances of governmental abuses.  I also welcome anyone who wants to
join me in collecting and researching information for this project.
"
922,talk.politics.misc,talk.politics.guns,"In case you missed it on the news....the first 16 Haitians
of many that tested positive for HIV and were being held on a
base in Cuba have been flown to the U.S.
     Further a U.S. judge has ruled that they must receive
medical treatment or be returned to a place where they could
receive same.

      So guess what folks, we taxpayers get to pick up the tab 
(just as you might have expected) for people who have never
contributed a dime to the U.S. society."
393,talk.politics.mideast,talk.politics.guns,"


Source: A. Alper Gazigiray, ""Osmanlilardan Gunumuze Kadar Vesikalarla 
        Ermeni Teroru'nun Kaynaklari,"" Gozen Kitabevi, Istanbul, 1982.

pp. 267-268.

""Van'dan sonra ilk isyan Sebinkarahisar'da basladi. 1915 senesi 5 
 haziran da, Sivasli Murat [Hamparsum Boyaciyan - sa] denilen bir 
 caninin emri altinda 500 kadar cete Sebinkarahisari basti. Burasi o 
 zaman en onemli askeri bir yerdi. Erzurum bolgesinde Rus ordusu ile 
 savasan Osmanli Ordularinin butun ikmal araclari buradan gecmekte idi. 
 Ermeniler boyle onemli bir yer isgal ettikleri takdirde Turk 
 ordularinin ikmali yapilamayacak ve Rus Ordularinin harekati 
 kolaylasacakti. Sebinkarahisarin islam mahalleleri tamamen atese 
 verildi. Her rastlanan Turk iskence ile olduruldu.

 Mus'da ayni sekilde isyan devam ediyordu. Sason daglari Ermeni 
 eskiyalariyla dolu idi. Bu isyanlari, ordunun arkasini vurmak ve Rus 
 Ordusunun ilerlemesini saglamak icin Ermenilerin pasa dedikleri Rupen 
 idare ediyordu. Bundan baska, Rus Ordularinin Rus - Turk sinirindan 
 gecerek Turk topraklarina girdikleri bu safhada Rus Ordusu icinde 
 bulunan Ermeni gonullu alaylariyla Rus Ordularinin isgali altina giren 
 Ermeni koylerindeki silahli halk, Turk koylerine hucum ederek bu 
 koyleri yakip yikmislar ve Turk halkini hatira gelmeyen mezalim ve 
 iskence ile oldurmulerdir. 

p. 285.

""Bu suretle sehirde 23 gun cok kanli olaylar cereyan etti, bu sure 
 sonunda Van, Ermeniler tarafindan tamamen isgal olundu. Buradan 
 kacabilen Turklerin, Ermenilerin davranislari hakkinda verdikleri 
 haberler tuyler urpertici idi. Cunku isyancilar halkin cogunu oldurmus,
 kadinlarin irzina gecmis, Turk kadin ve kizlarini bazi evlerde 
 topladiktan sonra buralarini Genelev haline getirmislerdir. O zaman 
 Van'da 1500 kadar kadin ve cocuktan baska Turk kalmamis, bunlari da 
 oradaki Amerikalilar korumustur. Sehir bastan basa harab olmus, carsi 
 kamilen yanmisti.""

Serdar Argic"
915,talk.politics.guns,talk.politics.misc,"
They'd probably quote Montesque (sp?) who was once asked if Russia
was likely to become a democracy any time soon: ""No, because
Russia is a nation of slaves and the people get what they deserve.""
Since he said that, Russia has changed a great deal. But so, 
unfortunately have other nations."
1182,talk.politics.mideast,talk.politics.guns,"

I'm sure the Federal Bureau of Investigation (fbi.gov on the Internet) is going
to *love* reading your incitement to murder.
"
55,talk.politics.misc,talk.politics.guns,"
In billions of dollars (%GNP):
year  GNP    receipts     outlays       deficit     debt    unempl%  admin
====  ====   ===========  ============  =========   ======  =======  =======
1977  1930   355.6 (18.4) 409.2  (21.2) 53.6 (2.8)   709.1           Carter
1978  2174   399.6 (18.4) 458.7  (21.1) 59.2 (2.7)   780.4           Carter
1979  2444   463.3 (19.0) 503.5  (20.6) 40.2 (1.6)   833.8           Carter
1980  2674   517.1 (19.3) 590.9  (22.1) 73.8 (2.8)   914.3   7.9     Carter
1981  2986   599.3 (20.1) 678.2  (22.7) 78.9 (2.6)  1003.9   8.4     Reagan
1982  3130   617.8 (19.7) 745.7  (23.8) 127.9 (4.1) 1147.0  11.0     Reagan
1983  3325   600.6 (18.1) 808.3  (24.3) 207.8 (6.2) 1381.9  10.9     Reagan
1984  3688   666.5 (18.1) 851.8  (23.1) 185.3 (5.0) 1576.7   8.6     Reagan
1985  3958   734.1 (18.5) 946.3  (23.9) 212.3 (5.4) 1827.5   8.1     Reagan
1986  4177   769.1 (18.4) 989.8  (23.7) 220.7 (5.3) 2129.5   7.9     Reagan
1987  4442   854.1 (19.2) 1002.1 (22.6) 148.0 (3.4) 2354.3   7.1     Reagan
1988  4771   909.0 (19.1) 1064.1 (22.3) 155.1 (3.2) 2614.6   6.3     Reagan
1989  5201   990.8 (19.0) 1142.8 (22.0)	152.0 (2.9) 2881.1           Bush
1990         1031.2       1251.6        220.4       3190.5           Bush
1991	     1054.3	  1323.0	268.7       3599.0           Bush

[Source: Statistical Abstract of the US (1990 version), American Almanac 
(1993 version), Universal Almanac (1993 version), Information Please Almanac
(1991 version)]

		GRAPHICALLY: Deficits as a % of GNP, 1981-89

% GNP
7|
 |
6|                       X
 |                                       X       X
5|                               X                
 |                                                
4|               X
 |                                                       X
3|                                                               X       X
 |       X
2|
 |
1|
 |____________________________________________________________________________
0	1981	1982	1983	1984	1985	1986	1987	1988	1989

	Ironically, Bush could have frozen spending, kept his ""no new taxes""
pledge and balanced the budget."
